cnty_fips,County,State,Value,theme_range
31175,Valley,NE,151,147 - 169.4 (640)
31177,Washington,NE,151.2,147 - 169.4 (640)
31179,Wayne,NE,164.6,147 - 169.4 (640)
31181,Webster,NE,185.7,169.5 - 190.3 (639)
31183,Wheeler,NE,152.9,147 - 169.4 (640)
31185,York,NE,161.3,147 - 169.4 (640)
32001,Churchill,NV,225.3,220.9 - 568.7 (640)
32003,Clark,NV,199.2,190.4 - 220.8 (640)
32005,Douglas,NV,138.1,56.2 - 146.9 (641)
32007,Elko,NV,192.2,190.4 - 220.8 (640)
32009,Esmeralda,NV,199.8,190.4 - 220.8 (640)
32011,Eureka,NV,230.5,220.9 - 568.7 (640)
32013,Humboldt,NV,188.9,169.5 - 190.3 (639)
32015,Lander,NV,170.8,169.5 - 190.3 (639)
32017,Lincoln,NV,204,190.4 - 220.8 (640)
32019,Lyon,NV,180.3,169.5 - 190.3 (639)
32021,Mineral,NV,250.5,220.9 - 568.7 (640)
32023,Nye,NV,247.6,220.9 - 568.7 (640)
32027,Pershing,NV,184.9,169.5 - 190.3 (639)
32029,Storey,NV,188.4,169.5 - 190.3 (639)
32031,Washoe,NV,190.4,190.4 - 220.8 (640)
32033,White Pine,NV,180.2,169.5 - 190.3 (639)
32510,Carson City,NV,186,169.5 - 190.3 (639)
33001,Belknap,NH,152.1,147 - 169.4 (640)
33003,Carroll,NH,136.3,56.2 - 146.9 (641)
33005,Cheshire,NH,149.1,147 - 169.4 (640)
33007,Coos,NH,165.8,147 - 169.4 (640)
33009,Grafton,NH,145.5,56.2 - 146.9 (641)
33011,Hillsborough,NH,146.8,56.2 - 146.9 (641)
33013,Merrimack,NH,148.5,147 - 169.4 (640)
33015,Rockingham,NH,144.8,56.2 - 146.9 (641)
33017,Strafford,NH,145.5,56.2 - 146.9 (641)
33019,Sullivan,NH,149.4,147 - 169.4 (640)
34001,Atlantic,NJ,196,190.4 - 220.8 (640)
34003,Bergen,NJ,143.3,56.2 - 146.9 (641)
34005,Burlington,NJ,163.9,147 - 169.4 (640)
34007,Camden,NJ,185.8,169.5 - 190.3 (639)
34009,Cape May,NJ,202.8,190.4 - 220.8 (640)
34011,Cumberland,NJ,209.6,190.4 - 220.8 (640)
34013,Essex,NJ,174.4,169.5 - 190.3 (639)
34015,Gloucester,NJ,188.5,169.5 - 190.3 (639)
34017,Hudson,NJ,166.8,147 - 169.4 (640)
34019,Hunterdon,NJ,138.1,56.2 - 146.9 (641)
34021,Mercer,NJ,162.7,147 - 169.4 (640)
34023,Middlesex,NJ,157.7,147 - 169.4 (640)
34025,Monmouth,NJ,158.4,147 - 169.4 (640)
34027,Morris,NJ,147.5,147 - 169.4 (640)
34029,Ocean,NJ,201.2,190.4 - 220.8 (640)
34031,Passaic,NJ,170.5,169.5 - 190.3 (639)
34033,Salem,NJ,193.8,190.4 - 220.8 (640)
34035,Somerset,NJ,135.6,56.2 - 146.9 (641)
34037,Sussex,NJ,174.6,169.5 - 190.3 (639)
34039,Union,NJ,156.9,147 - 169.4 (640)
34041,Warren,NJ,169.6,169.5 - 190.3 (639)
35001,Bernalillo,NM,136.9,56.2 - 146.9 (641)
35003,Catron,NM,146.9,56.2 - 146.9 (641)
35005,Chaves,NM,191.2,190.4 - 220.8 (640)
35006,Cibola,NM,138.1,56.2 - 146.9 (641)
35007,Colfax,NM,141.2,56.2 - 146.9 (641)
35009,Curry,NM,200.2,190.4 - 220.8 (640)
35011,De Baca,NM,212.9,190.4 - 220.8 (640)
35013,Dona Ana,NM,125.7,56.2 - 146.9 (641)
35015,Eddy,NM,204.4,190.4 - 220.8 (640)
35017,Grant,NM,150.2,147 - 169.4 (640)
35019,Guadalupe,NM,133.2,56.2 - 146.9 (641)
35021,Harding,NM,170.3,169.5 - 190.3 (639)
35023,Hidalgo,NM,145.7,56.2 - 146.9 (641)
35025,Lea,NM,204.9,190.4 - 220.8 (640)
35027,Lincoln,NM,135.9,56.2 - 146.9 (641)
35028,Los Alamos,NM,120.8,56.2 - 146.9 (641)
35029,Luna,NM,230.5,220.9 - 568.7 (640)
35031,McKinley,NM,134.2,56.2 - 146.9 (641)
35033,Mora,NM,125.4,56.2 - 146.9 (641)
35035,Otero,NM,165.5,147 - 169.4 (640)
35037,Quay,NM,194.8,190.4 - 220.8 (640)
35039,Rio Arriba,NM,121.5,56.2 - 146.9 (641)
35041,Roosevelt,NM,188.5,169.5 - 190.3 (639)
35043,Sandoval,NM,131.9,56.2 - 146.9 (641)
35045,San Juan,NM,129,56.2 - 146.9 (641)
35047,San Miguel,NM,166.1,147 - 169.4 (640)
35049,Santa Fe,NM,119.1,56.2 - 146.9 (641)
35051,Sierra,NM,200.4,190.4 - 220.8 (640)
35053,Socorro,NM,153.9,147 - 169.4 (640)
35055,Taos,NM,101,56.2 - 146.9 (641)
35057,Torrance,NM,160.4,147 - 169.4 (640)
35059,Union,NM,170,169.5 - 190.3 (639)
35061,Valencia,NM,145.5,56.2 - 146.9 (641)
36001,Albany,NY,173.6,169.5 - 190.3 (639)
36003,Allegany,NY,200.1,190.4 - 220.8 (640)
36005,Bronx,NY,205.2,190.4 - 220.8 (640)
36007,Broome,NY,189.1,169.5 - 190.3 (639)
36009,Cattaraugus,NY,244,220.9 - 568.7 (640)
36011,Cayuga,NY,167.4,147 - 169.4 (640)
36013,Chautauqua,NY,210.5,190.4 - 220.8 (640)
36015,Chemung,NY,207.9,190.4 - 220.8 (640)
36017,Chenango,NY,270.5,220.9 - 568.7 (640)
36019,Clinton,NY,169.6,169.5 - 190.3 (639)
36021,Columbia,NY,187.8,169.5 - 190.3 (639)
36023,Cortland,NY,162.4,147 - 169.4 (640)
36025,Delaware,NY,193.5,190.4 - 220.8 (640)
36027,Dutchess,NY,175.6,169.5 - 190.3 (639)
36029,Erie,NY,183.2,169.5 - 190.3 (639)
36031,Essex,NY,171.8,169.5 - 190.3 (639)
36033,Franklin,NY,185.3,169.5 - 190.3 (639)
